idx;Time;Pitch;Note;Octave
3;512;65;F;4
5;1024;69;A;4
7;1536;65;F;4
9;2048;72;C;5
11;2560;65;F;4
13;3072;77;F;5
15;3584;76;E;5
16;3584;53;F;3
18;3840;74;D;5
20;4096;72;C;5
22;4096;57;A;3
24;4352;74;D;5
26;4608;72;C;5
28;4608;53;F;3
30;4864;70;A#;4
32;5120;69;A;4
34;5120;60;C;4
36;5376;70;A#;4
38;5632;69;A;4
40;5632;53;F;3
42;5888;67;G;4
45;6144;65;F;4
46;6144;65;F;4
48;6656;69;A;4
50;6656;64;E;4
52;6912;62;D;4
54;7168;72;C;5
56;7168;60;C;4
58;7424;62;D;4
60;7680;69;A;4
62;7680;60;C;4
64;7936;58;A#;3
66;8192;77;F;5
68;8192;57;A;3
70;8448;58;A#;3
72;8704;72;C;5
74;8704;57;A;3
76;8960;55;G;3
79;9216;81;A;5
80;9216;53;F;3
82;9472;84;C;6
84;9728;82;A#;5
86;9728;57;A;3
88;9984;84;C;6
90;10240;81;A;5
92;10240;60;C;4
94;10496;84;C;6
96;10752;82;A#;5
98;10752;57;A;3
100;11008;84;C;6
102;11264;81;A;5
104;11264;65;F;4
106;11520;84;C;6
108;11776;82;A#;5
110;11776;60;C;4
112;12032;84;C;6
115;12288;77;F;5
116;12288;69;A;4
118;12544;81;A;5
120;12544;72;C;5
122;12800;79;G;5
124;12800;70;A#;4
126;13056;81;A;5
128;13056;72;C;5
130;13312;77;F;5
132;13312;69;A;4
134;13568;81;A;5
136;13568;72;C;5
138;13824;79;G;5
140;13824;70;A#;4
142;14080;81;A;5
144;14080;72;C;5
146;14336;77;F;5
148;14336;69;A;4
150;14592;81;A;5
152;14592;72;C;5
154;14848;79;G;5
156;14848;70;A#;4
158;15104;81;A;5
160;15104;72;C;5
163;15360;74;D;5
164;15360;65;F;4
166;15616;77;F;5
168;15616;69;A;4
170;15872;76;E;5
172;15872;67;G;4
174;16128;77;F;5
176;16128;69;A;4
178;16384;74;D;5
180;16384;65;F;4
182;16640;77;F;5
184;16640;69;A;4
186;16896;76;E;5
188;16896;67;G;4
190;17152;77;F;5
192;17152;69;A;4
194;17408;74;D;5
196;17408;65;F;4
198;17664;77;F;5
200;17664;69;A;4
202;17920;76;E;5
204;17920;67;G;4
206;18176;77;F;5
208;18176;69;A;4
211;18432;71;B;4
212;18432;62;D;4
214;18688;65;F;4
216;18944;67;G;4
218;18944;64;E;4
220;19200;65;F;4
222;19456;74;D;5
224;19456;62;D;4
226;19712;65;F;4
228;19968;71;B;4
230;19968;64;E;4
232;20224;65;F;4
234;20480;77;F;5
236;20480;62;D;4
238;20736;65;F;4
240;20992;74;D;5
242;20992;64;E;4
244;21248;65;F;4
247;21504;79;G;5
248;21504;59;B;3
250;21760;81;A;5
252;22016;79;G;5
254;22016;55;G;3
256;22272;77;F;5
258;22528;76;E;5
260;22528;60;C;4
262;22784;77;F;5
264;23040;76;E;5
266;23040;55;G;3
268;23296;74;D;5
270;23552;72;C;5
272;23552;64;E;4
274;23808;74;D;5
276;24064;72;C;5
278;24064;60;C;4
280;24320;70;A#;4
283;24576;69;A;4
284;24576;65;F;4
286;24832;67;G;4
288;25088;74;D;5
290;25088;65;F;4
292;25344;72;C;5
294;25344;64;E;4
296;25600;71;B;4
298;25600;62;D;4
300;25856;72;C;5
302;25856;64;E;4
304;26112;71;B;4
306;26112;62;D;4
308;26368;69;A;4
310;26368;60;C;4
312;26624;67;G;4
314;26624;59;B;3
316;26880;69;A;4
318;26880;60;C;4
